Initial Neurons:;8;
Initial Learning Rate:;0.9;
temperature;matter;floors;groundArea;totalArea;burning;x;y;z;hits;spreadCounter;new;
1.0;0.0;0.4;0.43209876543209874;0.1838074398249453;1.0;0;1;0;3;0;
0.25;0.0;0.2;0.5751028806584362;0.12231947483588622;1.0;0;1;1;5;0;
0.5;1.0;0.8;0.6851851851851852;0.5829321663019693;1.0;0;1;1;6;0;
0.0;0.5;0.6;0.5720164609053497;0.3649890590809628;0.0;1;1;0;6;0;T;
1.0;0.0;0.2;0.35390946502057613;0.07527352297592997;1.0;1;1;1;4;0;T;
0.5;0.0;0.4;0.4207818930041152;0.17899343544857768;1.0;1;1;-1;1;1;T;
0.25;0.0;0.4;0.8816872427983539;0.375054704595186;1.0;0;1;0;4;0;T;
0.5;0.5;0.6;0.9526748971193416;0.6078774617067834;1.0;1;0;0;5;0;T;
0.5;0.0;0.4;0.4732510288065844;0.2013129102844639;1.0;2;1;0;1;1;T;
0.0;0.5;0.6;0.2664609053497942;0.1700218818380744;0.0;1;2;1;1;2;T;
1.0;1.0;0.2;0.588477366255144;0.12516411378555797;1.0;1;2;0;1;1;T;
0.75;1.0;0.6;1.0;0.638074398249453;1.0;2;2;1;1;7;T;
0.5;1.0;0.6;0.3220164609053498;0.20547045951859957;1.0;0;1;-1;1;3;T;
0.0;0.0;0.4;0.9578189300411523;0.4074398249452954;0.0;1;1;0;7;0;F;
0.5;1.0;0.6;0.21502057613168724;0.13719912472647702;1.0;1;1;1;5;0;F;
0.0;0.0;0.4;0.6656378600823045;0.2831509846827133;0.0;2;2;0;1;6;T;
0.5;0.5;0.6;0.7674897119341564;0.4897155361050328;1.0;2;1;0;2;1;F;
1.0;0.5;0.8;0.9104938271604939;0.774617067833698;1.0;1;2;0;2;1;F;
0.75;0.5;1.0;0.8209876543209876;0.8730853391684902;1.0;1;2;2;1;7;T;
0.5;1.0;0.2;0.8858024691358025;0.18840262582056894;1.0;1;0;0;6;0;F;
0.25;1.0;1.0;0.676954732510288;0.7199124726477024;1.0;2;2;-1;1;11;T;
1.0;0.5;0.2;0.8600823045267489;0.18293216630196937;1.0;0;2;1;1;7;T;
1.0;0.0;0.4;0.6131687242798354;0.2608315098468271;1.0;2;1;-1;1;3;T;
0.5;0.0;0.4;0.5679012345679012;0.24157549234135667;1.0;2;2;0;2;6;F;
0.5;0.5;0.4;0.6862139917695473;0.29190371991247266;1.0;0;1;0;5;0;F;
0.5;0.5;0.8;0.19753086419753085;0.16805251641137856;1.0;1;-1;0;1;5;T;
0.25;1.0;0.8;0.2705761316872428;0.2301969365426696;1.0;1;1;-1;2;1;F;
0.0;0.0;0.2;0.6738683127572016;0.14332603938730853;0.0;2;2;2;1;9;T;
1.0;0.5;0.4;0.3220164609053498;0.13698030634573305;1.0;2;2;1;2;7;F;
0.25;1.0;1.0;0.757201646090535;0.8052516411378556;1.0;2;1;2;1;17;T;
1.0;0.0;0.4;0.9557613168724279;0.40656455142231945;1.0;1;2;-1;1;3;T;
0.5;0.0;0.4;0.9958847736625515;0.4236323851203501;1.0;1;0;-1;1;3;T;
